image,pred_caption_lstm,ground_truth,sentence_bleu4
2135502491_a15c6b5eae.jpg,a dog is running through the snow,A beautiful brown and white St Bernard running in the snow | A St Bernard lunges through the snow . | Large St Bernard dog wearing red collar galloping through the snow . | St Bernard dog running in the snowy field . | The large brown and white dog is running through the snow .,0.8408964152537146
2056930414_d2b0f1395a.jpg,a little boy is playing with a toy car,A child plays a red toy guitar and sings into multicolored plastic microphone . | A little boy is playing with a toy guitar and microphone . | A little boy plays a toy guitar while singing into a toy microphone . | A little boy with toy microphone and guitar pretends to play music . | The child has a small red guitar and toy microphone .,0.7725505949016372
2260560631_09093be4c6.jpg,a dog is running through a grassy area,A dirty dogs runs through the woods . | A dog carries a stick through the woods . | A dog jumping over a stick in the yard . | A dog jumps over a stick in a forest . | The furry dog is running through a grassy wooded area .,0.7652058832556895
2309327462_82a24538d4.jpg,two dogs are playing in a grassy area,a dog chases another dog . | The white and brown dog is shaking its ears . | Two dogs are playing in a fenced in area of gravel . | Two dogs run in a gravel lot with a fence in the foreground . | Two dogs walk over the gravel yard inside a gated area .,0.6240195441936914
167295035_336f5f5f27.jpg,a man in a blue shirt is climbing a rock face,"A climber wearing a white helmet is perched on the side of a rock face . | a lone climber wearing a white helmet climbing a wall . | A man wearing blue climbs a steep cliff . | The man in a blue shirt , wearing a helmet , is readying to climb . | The rock climber looks down from above .",0.5460241725418133
1342780478_bacc32344d.jpg,a man in a black shirt is standing in front of a large crowd,A man in a dress shirt and tie is standing in front of a sign selling donuts . | A man stands among cement fixtures in front of a donut shop . | A man with a white shirt and tie is standing on a sidewalk between cement barriers . | A well-dressed man in the street . | Man stands between concrete barriers near a donut shop .,0.5445178846139404
2115849046_2aa9fa8d13.jpg,a dog is running through the water,A brown dog running on shore with a boat in the background . | A brown dog runs near the water . | A dog is running on the grass beside a boat on the river . | A large orange dog runs through the grass by the water where a large boat is sailing in the background . | The dog is running in the grass next to the water .,0.537284965911771
1473618073_7db56a5237.jpg,a little boy is swinging on a swing,A boy on a green plastic swing . | A little boy sitting on a green swing . | A smiling boy plays on a green plastic swing-toy . | Boy swinging on a swing set . | Little boy riding on green swing in a playground .,0.5
143688283_a96ded20f1.jpg,a man in a blue shirt is climbing a rock wall,a man in a harness climbing a rock wall | A man with a white shirt and helmet is climbing a mountain . | A man in a white shirt and helmet is using climbing equipment . | a young man wearing a white helmet climbing up a rock wall | Man rock climbing looking up the rock,0.49786534586418574
1130369873_d80a1aa59c.jpg,a brown dog is running through the snow,"A brown dog is running through neck-deep water carrying a tennis ball . | A brown dog splashes in the water while carrying a ball in its mouth . | A brown dog swims through water outdoors with a tennis ball in its mouth . | A red dog , holding a ball , splashes through vegetation filled water . | Brown dog with tennis ball in mouth , in water and bushes .",0.48598690966990804
1204996216_71d7519d9a.jpg,a boy in a blue shirt is sitting on a wooden bench,A boy lays on a picnic table bench . | A child is laying down on a wooden bench . | A child is on a bench with arms stretched out . | A little boy in a red shirt sitting on a wooden picnic table bench . | A little boy lies down on a picnic table bench .,0.47718970758108814
2080033499_6be742f483.jpg,a brown dog is running through a grassy area,A brown dog is running away from his owner . | A brown dog with a lease is running with a person behind the dog . | A man is walking behind a dog that is standing on its hind legs . | A tan dog on a leash stands on his hind legs . | Dog on leash running from man,0.4671379777282001
1350948838_fdebe4ff65.jpg,a black and white dog is swimming in a pool,A black and white dog jumping into a pool . | A black and white dog jumping into a swimming pool . | A black dog jumping into a large pool . | A wet black dog jumps into a pool to fetch a ball . | Black and white dog leaps away from camera into pool .,0.4671379777282001
1267711451_e2a754b4f8.jpg,a black and white dog is running through a grassy field,A black and white dog carrying a large stick | A black and white dog is carrying a stick in its mouth . | a black and white dog walking through the grass with a long stick in his mouth . | a dog holds a stick in its mouth . | A dog trots across the ground with a large stick in his mouth .,0.45305163015763106
2064780645_8f28a1529f.jpg,a group of people are standing on a beach,A group of people standing in front of a setting sun . | Children in a field at dusk . | Several people are standing near trees at dusk . | The setting sun outlines a group of four people and the surrounding trees . | The sun is setting behind a group of people .,0.43167001068522526
1295669416_21cabf594d.jpg,a woman in a black shirt is sitting on a bench in front of a large rock formation,A girl dressed in a red and black top with black pants is sitting on a wall . | A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant . | A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden . | A lady in a red and black striped shirt is sitting on a retaining wall . | A woman in semi-formal attire is sitting on a concrete wall .,0.430394752998613
179009558_69be522c63.jpg,a child in a blue shirt is sitting on a wooden bench,"A black and white dog lies on the ground next to a little girl on a red bicycle in the woods . | A child in a red sweatshirt , jeans , and black bike helmet and a dog pose for a picture outdoors . | A child is sitting on a bike next to her dog | A little girl poses on her bike with her dog in the woods . | The dog is laying on the ground next to the little girl with the red bike .",0.4240125351805037
2256218522_53b92bcbb2.jpg,a black dog is running through a grassy field,A black and white dog is running through the sand at a beach . | A black and white dog playing in the sand . | A dog bounding across the sandy landscape in front of people watching . | A dog lunges across a beach . | Black dog running across dirt .,0.39005788655345264
2110898123_07729c1461.jpg,a brown dog is running through a grassy field,A brown dog wearing a red vest is running in the grass . | A brown dog wearing a red vest is running through the grass . | a dog sprints across the grass . | A dog wearing a red cape runs quickly across a field . | The brown dog is running on the grass whilst wearing an orange jacket .,0.38403841100479535
1357753846_6185e26040.jpg,a black dog is swimming in a lake,"A big , black dog runs through the water , near the shore . | A black dog crossing a stream | A black dog is walking through a stream of water . | a black dog runs through the water . | A black dog walks through some water .",0.3655552228545123
1515883224_14e36a53c7.jpg,a woman in a white dress is standing in front of a crowd of people,A brunette woman in a blue shirt too small for her standing behind casually-dressed people . | A woman in a blue shirt in a crowd . | A woman in a blue shirt standing in a crowd of people . | A woman in a blue striped shirt with her hands on her hips in a crowd of people . | A woman wearing a shirt that has risen up from the waist of her jeans .,0.3615855225145535
2135360514_7dcb9ed796.jpg,a baby in a red shirt is blowing bubbles,A baby in a Santa hat holds a Santa figure while laying on a brown sofa . | A baby wearing a Santa hat and a red outfit playing with a Santa Claus figure . | a baby wears a Santa hat . | Baby in Santa outfit holding a baby Santa . | The baby is holding a Santa figurine .,0.3549481056010053
1032460886_4a598ed535.jpg,a woman in a black shirt is standing in front of a crowd of people,a man is standing in front of a skyscraper | A man stands in front of a skyscraper . | A man stands in front of a very tall building . | Behind the man in a red shirt stands a large skyscraper . | There is a skyscraper in the distance with a man walking in front of the camera .,0.3508365347103021
1093737381_b313cd49ff.jpg,a young boy in a blue shirt is standing in front of a large tree,A woman in a blue dress stands with a chalk portrait of two children playing by a stream . | A woman standing in front of a chalk drawing | A woman stands next to a chalk drawing in front of a barn-like structure . | A woman stands outside near an elaborate chalk illustration . | A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .,0.34791594751284466
233242340_09963100a3.jpg,a black and white dog is jumping over a white and white dog,"A brown , black and white dog is on a obstacle course . | A dog climbs down a black ramp | A dog is running down a black and yellow ramp in an obstacle course . | A dog walks down a black ramp . | The black and white dog ran down the ramp .",0.3309427863700569
2255332561_3375897ff0.jpg,a man climbing a rock face,a lone man climbing the side of a large rock wall . | A man is on the side of a mountain and hiking around huge rocks . | A man stands on the rocky ledge of a large cliff . | A person stands atop a rock face . | The man is on the mountainside .,0.330595632891053
1355935187_2c99648138.jpg,a white dog is running through a grassy field,A fluffy white dog is coming out of a blue striped obstacle shute . | A small white dog running out of a tent . | A white dog is emerging from a blue canvas tunnel on an obstacle course . | The white poodle dog is coming out of a blue tent . | White dog leaving blue-striped tent .,0.3303164318013807
209605542_ca9cc52e7b.jpg,a man in a blue shirt is climbing a rock face,a climber wearing a red headband is pulling himself up some grey rocks high above some green foliage . | A man in a headband climbing a rock . | a man with a red headband climbing a rock cliff looming over greenery . | Man climbing a sheet rock face . | Man in red headband climbing a rock,0.31530788046040353
1461667284_041c8a2475.jpg,a man in a white shirt is standing in front of a <unk>,"A guitarist plays while people play with hula-hoops in the background . | A guitarist sits playing before microphones , while a man and a boy dance and a woman stands by . | A man in a white hat plays guitar on a stage . | A man plays guitar on a stage while another woman smiles | Four people performing music outdoors .",0.3026643726685863
2343525685_3eba3b6686.jpg,a boy in a blue shirt is climbing a rock wall,A dark-haired man wearing a brown shirt is free-climbing a grey stone wall . | a man holding on to a rock wall | A man scales a rock climbing wall . | A man struggles to climb a rock wall . | A man with glasses climbing a rock wall .,0.2998221389342337
1515025681_999199cb79.jpg,a man in a black shirt and a black hat smiles,"A man in a white shirt and sunglasses gazes into the horizon . | An older man wearing sunglasses and a white t-shirt | An old man with sunglasses and a watch around kids | Bald man in sunglasses | Bald , older man with sunglasses and white shirt , blurry crowd around him .",0.29502343631964045
2338627102_6708a9b4fd.jpg,a man in a blue jacket is standing on a rocky hill,"A man in a red jacket and khaki pants is walking through a part of what looks like Arizona . | A man wearing jeans and a hooded , long sleeved top , and a backpack , walks in a desert . | A person with a red hooded jacket and a black backpack is walking near a rocky wall . | Man wearing red looks on at desert | There is a lone hiker in the middle of a prairie with his back to the camera , showing his backpack .",0.2790159393585827
2332986053_864db84971.jpg,a man wearing a black shirt and black pants is skateboarding,A man in an orange shirt and a blue hardhat smiles . | A man smiling with a helmet on his head . | A man wearing a helmet and sunglasses smiles . | A man wearing an orange shirt and helmet . | A man with a blue helmet and orange shirt .,0.2790159393585827
2359784186_36c9746d02.jpg,a man in a blue shirt is standing on a wooden bench,A man in a long gray overcoat stands in a courtyard as snow falls . | A young boy in a trench coat is holding a red bottle outside of a brick building . | A young man is wearing a blue outfit and grey coat . | Person spraying squirt bottle in the snow . | Woman in coat outside a house while snowing,0.2620251007173262
1691573772_1adef8e40e.jpg,a man in a blue shirt is riding a bike down a city street,A girl in a pink shirt is riding a bicycle in traffic . | An Asian woman rides a bicycle in front of two cars . | A woman in a pink sweater rides her bike alongside cars . | A woman is riding her bicycle down the street . | A woman wearing a pink sweater rides a bike with a car behind her .,0.2601278440403792
2073105823_6dacade004.jpg,a man in a blue shirt is climbing a rock wall,A man in a black hoodie and jeans skateboards down a railing . | A man skateboards down a steep railing next to some steps . | a person is sliding down a brick rail on a snowboard . | A person walks down the brick railing near a set of steps . | A snowboarder rides down a handrail without snow .,0.2596535889340338
2303426046_09cfd7bc4e.jpg,a brown dog is jumping over a low tree,A brown dog jumps in the air . | A dog appearing to be malnourished is standing on his hind legs about to jump . | A dog jumps high while outside . | A dog jumps on a lawn . | Large brown dog jumping over a bush in a grassy area .,0.25256325852159667
169490297_b6ff13632a.jpg,a young boy in a blue shirt is jumping on a trampoline,"A boy in a blue , yellow , and orange shirt holding his arms out from his sides . | A boy in a blue , yellow , and orange shirt plays outside . | A boy looks down and spreads his arms wide | A child with a brightly colored shirt plays outside . | The boy in the blue and yellow top is standing with arms outstretched .",0.24384183193426084
1419286010_b59af3962a.jpg,a man in a blue shirt is standing on a rocky hill,A fisherman is reeling his rod while another relaxes in a boat on water . | A man in a gray cap fishing . | A man sits in a boat and holds a fishing pole while another lays down . | a man wearing a grey hat fishing out of a fishing boat . | Two men in a boat fishing .,0.24384183193426084
2219959872_988e6d498e.jpg,a woman in a blue shirt is standing in front of a large crowd of people,A man and two kids standing in front of an ancient building . | A man in a red muscle shirt poses for a picture beside a stone building whilst other people pass by . | A man in a red shirt is standing with two fitls in front of an old structure . | A man poses outside a tourist location . | A man wearing a sleeveless shirt and sunglasses standing next to two children .,0.24375427155462506
225909073_25c3c33a29.jpg,a dog is running through a lake,A black and brown dog is running out of the surf . | A wet dog runs through the surf at a beach . | A wet German Shepherd dog is running out of the ocean with a ball in its mouth . | German shepherd running in ocean surf | The German Shepherd is walking in the body of water .,0.22961813530951883
1528205014_1323aa9dfd.jpg,a man in a black shirt is standing in front of a crowd,A man in a yellow jacket with many colorful wristbands is smiling . | A man in a yellow shirt wearing multi-colored plastic jewelry . | A man is wearing a rainbow colored necklace and smiling . | Black man poses for photo . | The man wearing a colorful outfit is holding something in both hands and smiling for the camera .,0.2224246939793677
2298283771_fb21a4217e.jpg,a man in a red shirt is standing in front of a crowd of people,A group of adults are walking . | A man in a black suit looking toward a woman with long hair | A man wearing glasses and a dark coat looks at something to the left of the picture . | A woman talks to a man while walking in a crowd . | Four people in dark clothes walk in the same direction .,0.21651956746181059
1383840121_c092110917.jpg,a brown dog is running through a grassy area,A brown dog laying on a blue cover . | A brown dog laying on a blue sheet . | A dog lying on a blue cloth dog bed . | The brown dog is laying down on a blue sheet . | The dog is laying on a bed with a blue sheet .,0.2160744812541948
2065309381_705b774f51.jpg,a skier is skiing down a snowy hill,A man snowboarding down a mountain covered with snow . | A skier rapidly descending a steep snow covered hill . | A snowboarder coasting down the side of a snowy hill . | Snowboarder going down a fresh hill . | The sun is shining above the snow and trees .,0.2141223771037455
1523984678_edd68464da.jpg,a white dog is running through a grassy field,A dog is running with a yellow tennis ball and wearing a red harness . | a small black and white dog running through the grass with a tennis ball in his mouth | Small black and white dog wearing a red harness is running around with a ball in its mouth . | Small dog with red harness fetching a ball . | The dog wearing the red collar is running across the grass with a ball in its mouth .,0.2123795387156078
2273871383_1ddb3562ea.jpg,a man in a black shirt and a white hat is standing in front of a brick wall,An elderly man standing near a younger man . | An older gentleman in brown gives a look of astonishment to the camera . | An older man confronts the camera while a young man in a blue jacket looks on . | An older man standing by a younger man with earphones | A older man in beige stands near a younger man in blue in front of a building .,0.20706193828327604
2272489996_95b0a62d15.jpg,a black and white dog is running through a grassy field,Two black and white dogs run across a green field . | Two dogs are running across a grassy field . | Two dogs with black and white markings running with their mouths open . | Two terriers running in a grassy area . | Two white and black dogs running in the grass .,0.2029192573644279
2052953131_30834196fb.jpg,a snowboarder in a red jacket is jumping over a snow covered hill,A person in a black and red jacket walking up a snowy mountain . | A person is walking up a snowy hill | A person wearing a red jacket climbs a snowy hill . | Mountain climber climbing snowy mountaintop . | Person in red and black parka climbing snow covered hill,0.19662574349533915
233270519_d60d4518fa.jpg,a man in a black shirt is running on a beach,"A man in swim trunks hits a ball with a paddle , while on the beach . | A man is batting a ball on the beach beside the ocean . | a muscular man in swim trunks plays paddle ball on the beach | Man in a bathing suit holding a paddle on the beach | The man is standing on the shore hitting a ball with a paddle .",0.19524798781650937
1501985304_8c50093004.jpg,a little girl in a pink bathing suit is jumping into a pool,A child swims with a woman . | A small child gets into a pool with help from a woman . | A young boy jumps into the water as a woman holds his arms . | A young curly brown headed boy is jumping into the arms of a woman in a pool . | The little boy is in the swimming pool with an adult woman .,0.19151421080811973
106490881_5a2dd9b7bd.jpg,a young boy in a blue bathing suit is jumping into a pool,A boy in his blue swim shorts at the beach . | A boy smiles for the camera at a beach . | A young boy in swimming trunks is walking with his arms outstretched on the beach . | Children playing on the beach . | The boy is playing on the shore of an ocean .,0.1907078043359717
2204277704_f1c8c741ed.jpg,a little boy is playing with a yellow toy,A boy in a fancy living room jumps from couch to couch . | A little boy in a yellow shirt and green shorts jumping on the couch . | A young boy leaps from one couch to another . | A young boy wearing a yellow shirt is jumping from chair to couch . | Young boy wearing a yellow shirt jumps onto the brown couch .,0.1901696869733609
1019077836_6fc9b15408.jpg,a brown dog is running through a grassy field,A brown dog chases the water from a sprinkler on a lawn . | a brown dog plays with the hose . | A brown dog running on a lawn near a garden hose | A dog is playing with a hose . | Large brown dog running away from the sprinkler in the grass .,0.1901696869733609
1299459550_1fd5594fa2.jpg,a young boy is playing in a pool,"A boy in swimming trunks . | A toddler in blue shorts is laying face down on the wet ground . | A young boy laying face down in water . | Boy in shorts , face down in shallow , reflective water . | The boy in swim trunks is laying face down on a watery pavement .",0.18756826382863573
